Frequency (A),Statistical unit (REG_KCPE),Sex (M),Unit of measure (NUMBER),Breakdown group identifier (_Z),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Subject,Total,Number,Kiswahili,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2018,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2019,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2020,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2021,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2022,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2023,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Lugha,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2015,44.68,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2016,49.2,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2017,48.38,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2018,51.6,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2019,44.54,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2020,51.31,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2021,52.84,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
