Frequency (A),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Grade 10 / Form 2,Female,Number,2024,540.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2025,641.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2015,691.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2016,730.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2017,758.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2018,801.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2019,908.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2020,922.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2021,942.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2022,990.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2023,1042.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2024,1068.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Total,Number,2025,1274.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2015,331.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2016,345,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2017,356,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2018,369.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2019,389,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2020,434.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2021,454.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2022,487.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
