Frequency,Statistical unit,Unit of measure,Breakdown group identifier,Time period,Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Approaching Expectation (%),%,Physical and Health Education,2025,50.72,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Art and Craft,2022,42.47,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Art and Craft,2023,24.46,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Art and Craft,2024,46.98,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Art and Craft,2025,55,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Music,2022,18.87,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Music,2023,33.01,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Music,2024,44.38,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Music,2025,57.93,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Christian Religious Education,2022,15.22,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Christian Religious Education,2023,25.48,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Christian Religious Education,2024,34.94,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Christian Religious Education,2025,40.6,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Islamic Religios Education,2022,12.5,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Islamic Religios Education,2023,28.65,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Islamic Religios Education,2024,39.63,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Islamic Religios Education,2025,33.26,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Hindu Religious Education,2022,18.18,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Hindu Religious Education,2023,36.36,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Hindu Religious Education,2024,57.14,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Hindu Religious Education,2025,25,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,English Language,2022,3.94,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,English Language,2023,6.53,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,English Language,2024,15.2,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,English Language,2025,5.59,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kiswahili Lugha,2022,3.31,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kiswahili Lugha,2023,6,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kiswahili Lugha,2024,14.81,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kiswahili Lugha,2025,3.96,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Mathematics,2022,7.98,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Mathematics,2023,9.42,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Mathematics,2024,22.41,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Mathematics,2025,4.44,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Science,2022,5.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Science,2023,19.51,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Science,2024,23.05,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Science,2025,5.37,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Social Studies,2022,5.02,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Social Studies,2023,9.19,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Social Studies,2024,20.93,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Social Studies,2025,12.23,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kenyan Sign Language,2022,7.72,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kenyan Sign Language,2023,18.42,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kenyan Sign Language,2024,27.63,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Kenyan Sign Language,2025,9.48,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Agriculture,2022,3.25,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Agriculture,2023,12.37,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Agriculture,2024,18.48,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Agriculture,2025,9.08,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Nutrition,2022,7.91,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Nutrition,2023,14.74,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Nutrition,2024,26.5,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Nutrition,2025,12.92,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Physical and Health Education,2022,9.43,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Physical and Health Education,2023,15.77,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Physical and Health Education,2024,20.02,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Physical and Health Education,2025,12.11,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Art and Craft,2022,12.95,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Art and Craft,2023,13.57,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Art and Craft,2024,29.16,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Art and Craft,2025,10.61,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
